timestamp,temp_c,humidity_percent,soil_state,light_level
2025-07-29 10:44:18,30.2,66.0,Dry,Dark
2025-07-29 10:44:21,30.2,66.0,Dry,Dark
2025-07-29 10:44:24,30.2,66.0,Dry,Dark
2025-07-29 10:44:27,30.2,66.0,Dry,Dark
2025-07-29 10:44:30,30.2,66.0,Dry,Dark
2025-07-29 10:44:33,30.2,66.0,Dry,Dark
2025-07-29 10:44:36,30.2,66.0,Dry,Dark
2025-07-29 10:44:39,30.2,66.0,Dry,Dark
2025-07-29 10:44:42,30.2,66.0,Dry,Dark
2025-07-29 10:44:45,30.2,66.0,Dry,Dark
2025-07-29 10:44:48,30.2,66.0,Dry,Dark
2025-07-29 10:44:51,30.2,66.0,Dry,Dark
2025-07-29 10:44:54,30.2,66.0,Dry,Dark
2025-07-29 10:44:57,30.2,66.0,Dry,Dark
2025-07-29 10:45:01,30.2,66.0,Dry,Dark
2025-07-29 10:45:04,30.2,66.0,Dry,Dark
2025-07-29 10:45:07,30.2,66.0,Dry,Dark
2025-07-29 10:45:10,30.2,66.0,Dry,Dark
2025-07-29 10:45:13,30.2,66.0,Dry,Dark
2025-07-29 10:45:16,30.2,66.0,Dry,Dark
2025-07-29 10:45:19,30.2,66.0,Dry,Dark
2025-07-29 10:45:22,30.2,66.0,Dry,Dark
2025-07-29 10:45:25,30.2,66.0,Dry,Dark
2025-07-29 10:45:28,30.2,66.0,Dry,Dark
2025-07-29 10:45:31,30.2,66.0,Dry,Dark
2025-07-29 10:45:34,30.2,66.0,Dry,Dark
2025-07-29 10:45:37,30.2,66.0,Dry,Dark
2025-07-29 10:45:40,30.2,66.0,Dry,Dark
2025-07-29 10:45:43,30.2,66.0,Dry,Dark
2025-07-29 10:45:46,30.2,66.0,Dry,Dark
2025-07-29 10:45:49,30.2,66.0,Dry,Dark
2025-07-29 10:45:52,30.2,66.0,Dry,Dark
2025-07-29 10:45:55,30.2,66.0,Dry,Dark
2025-07-29 10:45:58,30.2,66.0,Dry,Dark
2025-07-29 10:46:01,30.2,66.0,Dry,Dark
2025-07-29 10:46:04,30.2,66.0,Dry,Dark
2025-07-29 10:46:07,30.2,66.0,Dry,Dark
2025-07-29 10:46:10,30.2,66.0,Dry,Dark
2025-07-29 10:46:13,30.2,66.0,Dry,Dark
2025-07-29 10:46:16,30.2,66.0,Dry,Dark
2025-07-29 10:46:19,30.2,66.0,Dry,Dark
2025-07-29 10:46:22,30.2,66.0,Dry,Dark
2025-07-29 10:46:25,30.2,66.0,Dry,Dark
2025-07-29 10:46:28,30.2,66.0,Dry,Dark
2025-07-29 10:46:31,30.2,66.0,Dry,Dark
2025-07-29 10:46:34,30.2,66.0,Dry,Dark
2025-07-29 10:46:37,30.2,66.0,Dry,Dark
2025-07-29 10:46:40,30.2,66.0,Dry,Dark
2025-07-29 10:46:43,30.2,66.0,Dry,Dark
2025-07-29 10:46:46,30.2,66.0,Dry,Dark
2025-07-29 10:46:49,30.2,66.0,Dry,Dark
2025-07-29 10:46:52,30.2,66.0,Dry,Dark
2025-07-29 10:46:55,30.2,66.0,Dry,Dark
2025-07-29 10:46:58,30.2,66.0,Dry,Dark
2025-07-29 10:47:02,30.2,66.0,Dry,Dark
2025-07-29 10:47:05,30.2,66.0,Dry,Dark
2025-07-29 10:47:08,30.2,66.0,Dry,Dark
2025-07-29 10:47:11,30.2,66.0,Dry,Dark
2025-07-29 10:47:14,30.2,66.0,Dry,Dark
2025-07-29 10:47:17,30.2,66.0,Dry,Dark
2025-07-29 10:47:20,30.2,66.0,Dry,Dark
2025-07-29 10:47:23,30.2,66.0,Dry,Dark
2025-07-29 10:47:26,30.2,66.0,Dry,Dark
2025-07-29 10:47:29,30.2,66.0,Dry,Dark
2025-07-29 10:47:32,30.2,66.0,Dry,Dark
2025-07-29 10:47:35,30.2,66.0,Dry,Dark
2025-07-29 10:47:38,30.2,66.0,Dry,Dark
2025-07-29 10:47:41,30.2,66.0,Dry,Dark
2025-07-29 10:47:44,30.2,66.0,Dry,Dark
2025-07-29 10:47:47,30.2,66.0,Dry,Dark
2025-07-29 10:47:50,30.2,66.0,Dry,Dark
2025-07-29 10:47:53,30.2,66.0,Dry,Dark
2025-07-29 10:47:56,30.2,66.0,Dry,Dark
2025-07-29 10:47:59,30.2,66.0,Dry,Dark
2025-07-29 10:48:02,30.2,66.0,Dry,Dark
2025-07-29 10:48:05,30.2,66.0,Dry,Dark
2025-07-29 10:48:08,30.2,66.0,Dry,Dark
2025-07-29 10:48:11,30.2,66.0,Dry,Dark
2025-07-29 10:48:14,30.2,66.0,Dry,Dark
2025-07-29 10:48:17,30.2,66.0,Dry,Dark
2025-07-29 10:48:20,30.2,66.0,Dry,Dark
2025-07-29 10:48:23,30.2,66.0,Dry,Dark
2025-07-29 10:48:26,30.2,66.0,Dry,Dark
2025-07-29 10:48:29,30.2,66.0,Dry,Dark
2025-07-29 10:48:32,30.2,66.0,Dry,Dark
2025-07-29 10:48:35,30.2,66.0,Dry,Dark
2025-07-29 10:48:38,30.2,66.0,Dry,Dark
2025-07-29 10:48:41,30.2,66.0,Dry,Dark
2025-07-29 10:48:44,30.2,66.0,Dry,Dark
2025-07-29 10:48:47,30.2,66.0,Dry,Dark
2025-07-29 10:48:50,30.2,66.0,Dry,Dark
2025-07-29 10:48:53,30.2,66.0,Dry,Dark
2025-07-29 10:48:56,30.2,66.0,Dry,Dark
2025-07-29 10:48:59,30.2,66.0,Dry,Dark
2025-07-29 10:49:03,30.2,66.0,Dry,Dark
2025-07-29 10:49:06,30.2,66.0,Dry,Dark
2025-07-29 10:49:09,30.2,66.0,Dry,Dark
2025-07-29 10:49:12,30.2,66.0,Dry,Dark
2025-07-29 10:49:15,30.2,66.0,Dry,Dark
2025-07-29 10:49:18,30.2,66.0,Dry,Dark
2025-07-29 10:49:21,30.2,66.0,Dry,Dark
2025-07-29 10:49:24,30.2,66.0,Dry,Dark
2025-07-29 10:49:27,30.2,66.0,Dry,Dark
2025-07-29 10:49:30,30.2,66.0,Dry,Dark
2025-07-29 10:49:33,30.2,66.0,Dry,Dark
2025-07-29 10:49:36,30.2,66.0,Dry,Dark
2025-07-29 10:49:39,30.2,66.0,Dry,Dark
2025-07-29 10:49:42,30.2,66.0,Dry,Dark
2025-07-29 10:49:45,30.2,66.0,Dry,Dark
2025-07-29 10:49:48,30.2,66.0,Dry,Dark
2025-07-29 10:49:51,30.2,66.0,Dry,Dark
2025-07-29 10:49:54,30.2,66.0,Dry,Dark
2025-07-29 10:49:57,30.2,66.0,Dry,Dark
2025-07-29 10:50:00,30.2,66.0,Dry,Dark
